titel;auteur;serie;jaar_van_uitgave;originele_titel;taal;cover_url
LISEY'S VERHAAL;Stephen King;;2006;Lisey's Story ;Nederlands;https://www.deslegte.com/images/cached/resample/webp/data/uploads/509/800/cms_visual_9915.jpg_1403605148000_509x800_0.8_p-f72d489759.webp
MACABER CARNAVAL;Stephen King;;1986;Danse Macabre ;Nederlands;https://media.s-bol.com/RymZqDVGgkWR/n5o2lMY/712x1200.jpg
MACABERE LIEFDE;Stephen King;;1978;Night Shift;Nederlands;https://www.deslegte.com/images/cached/resample/webp/data/uploads/1171/1800/cms_visual_1444598.jpg_1595688314000_1171x1800_0.8_p-1ec281100d.webp
MISERY;Stephen King;;1987;Misery ;Nederlands;https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Misery_%281987%29_front_cover%2C_first_edition.jpg/1200px-Misery_%281987%29_front_cover%2C_first_edition.jpg
MOBIEL ;Stephen King;;2006;Cell ;Nederlands;https://media.s-bol.com/NmxyprwkJ7Dv/gJq1wql/539x840.jpg
MR. MERCEDES;Stephen King;MR. MERCEDES;2014;Mr. Mercedes ;Nederlands;https://m.media-amazon.com/images/I/91ejxgOhBJL._UF1000,1000_QL80_.jpg
NACHTMERRIES;Stephen King;;1993;Nightmares;Nederlands;https://www.deslegte.com/images/cached/resample/webp/data/uploads/1116/1800/cms_visual_1488314.jpg_1602260488000_1116x1800_0.8_p-8541816cb0.webp
NACHTMERRIES EN DROOMLANDSCHAPPEN;Stephen King;;1993;Nightmares & Dreamscapes ;Nederlands;https://www.deslegte.com/images/cached/resample/webp/data/uploads/388/600/cms_visual_1026373.jpg_1690363508000_388x600_0.8_p-f2cb2959f3.webp
OGEN VAN VUUR;Stephen King;;1981;Firestarter ;Nederlands;https://www.boekenwebsite.nl/files/imagecache/vergroting/ogen-van-vuur.jpg
REVIVAL;Stephen King;;2014;Revival ;Nederlands;https://api.bruna.nl/images/active/carrousel/fullsize/9789021025285_front.jpg
ROSE MADDER;Stephen King;;1995;Rose Madder;Nederlands;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660826989i/10619.jpg
ROSIE;Stephen King;;1995;Rose Madder ;Nederlands;https://media.s-bol.com/6q6421Gr25LV/wpNMXkR/771x1200.jpg
SATANSKINDEREN;Stephen King;;1976;Nightshift ;Nederlands;https://media.s-bol.com/jv6Jl8EPzjBz/o2Bpzyz/770x1200.jpg
SCHEMERWERELD;Stephen King;;1991;Four Past Midnight ;Nederlands;https://www.readshop.nl/images/active/carrousel/fullsize/9789024578153_front.jpg
SCHONE SLAAPSTERS;Stephen King;;2017;Sleeping Beauties ;Nederlands;https://media.s-bol.com/qJqzN2vGvwD/550x833.jpg
SILVER BULLET;Stephen King;;1986;Cycle of the Werewolf ;Nederlands;https://static.boekenbalie.nl/media/58/de/19/1620372590/boekenbalie_9789024510610_cover.jpg?ts=1731883849
SKELETON CREW;Stephen King;;1975;Skeleton Crew;Engels;https://api.bruna.nl/images/active/carrousel/fullsize/9781668207741_front.jpg
THE MIST (Dichte Mist);Stephen King;;1980;The Mist;Nederlands;https://media.s-bol.com/MKnwol4O7x0P/QgBolG/771x1200.jpg
THE REGULATORS;Richard Bachman;;1996;The Regulators ;Engels;https://m.media-amazon.com/images/I/71jhK0QdSGL._UF1000,1000_QL80_.jpg
THE WIND THROUGH THE KEYHOLE;Stephen King;THE DARK TOWER;2012;Wind Through The Keyhole, The;Engels;https://m.media-amazon.com/images/I/81sbfKKDmHL._UF1000,1000_QL80_.jpg
TOVERNAARSGLAS;Stephen King;DONKERE TOREN;1997;The Dark Tower 4: Wizard and Glass ;Nederlands;https://api.bruna.nl/images/active/carrousel/fullsize/9789021025353_front.jpg
